town,flat_type,block,street_name,floor_area_sqm,flat_model,resale_price,remaining_lease,storey_no,lease_commence_date
ANG MO KIO,2 ROOM,323,ANG MO KIO AVE 3,44,Improved,233000,59.33333333,5,1973
ANG MO KIO,2 ROOM,510,ANG MO KIO AVE 8,44,Improved,238000,62.33333333,9,1986
ANG MO KIO,2 ROOM,323,ANG MO KIO AVE 3,44,Improved,245000,59.41666667,7,1985
ANG MO KIO,3 ROOM,180,ANG MO KIO AVE 5,68,New Generation,253000,63.16666667,1,1988
ANG MO KIO,3 ROOM,608,ANG MO KIO AVE 5,67,New Generation,270000,62.33333333,6,1988
ANG MO KIO,3 ROOM,605,ANG MO KIO AVE 5,67,New Generation,276000,62.33333333,5,1986
ANG MO KIO,3 ROOM,202,ANG MO KIO AVE 3,67,New Generation,285000,59.16666667,11,1987
ANG MO KIO,3 ROOM,133,ANG MO KIO AVE 3,73,New Generation,290000,61,1,1987
ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,67,New Generation,295000,60.5,9,1985
ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,68,New Generation,300000,66.91666667,1,1986
ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,68,New Generation,312000,62,7,1987
ANG MO KIO,3 ROOM,577,ANG MO KIO AVE 10,67,New Generation,313000,62,12,1992
ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,68,New Generation,315000,61.91666667,9,2011
ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,73,New Generation,315000,59.25,3,1992
ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,67,New Generation,315000,60.5,9,1987
ANG MO KIO,3 ROOM,126,ANG MO KIO AVE 3,67,New Generation,316000,60.58333333,11,1990
ANG MO KIO,3 ROOM,120,ANG MO KIO AVE 3,67,New Generation,320000,60.66666667,6,1986
ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,67,New Generation,320000,61.25,5,1987
ANG MO KIO,3 ROOM,106,ANG MO KIO AVE 4,74,New Generation,333000,60.16666667,4,1985
ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,68,New Generation,350000,62.91666667,11,2011
ANG MO KIO,3 ROOM,345,ANG MO KIO AVE 3,73,New Generation,355000,60.16666667,5,1992
ANG MO KIO,3 ROOM,329,ANG MO KIO AVE 3,73,New Generation,356000,59.91666667,11,1986
ANG MO KIO,3 ROOM,424,ANG MO KIO AVE 3,73,New Generation,380000,60.91666667,7,1987
ANG MO KIO,3 ROOM,308B,ANG MO KIO AVE 1,70,Model A,405000,94.58333333,6,1987
ANG MO KIO,3 ROOM,322,ANG MO KIO AVE 3,88,New Generation,448000,59.33333333,3,1984
ANG MO KIO,3 ROOM,310C,ANG MO KIO AVE 1,70,Model A,495000,94.66666667,4,1987
ANG MO KIO,4 ROOM,543,ANG MO KIO AVE 10,92,New Generation,400000,62.91666667,7,1987
ANG MO KIO,4 ROOM,633,ANG MO KIO AVE 6,93,New Generation,415000,66.91666667,3,1984
ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,98,New Generation,423000,60.91666667,2,1985
ANG MO KIO,4 ROOM,254,ANG MO KIO AVE 4,97,New Generation,428000,59.41666667,1,1985
ANG MO KIO,4 ROOM,543,ANG MO KIO AVE 10,92,New Generation,428888,62.91666667,7,1984
ANG MO KIO,4 ROOM,222,ANG MO KIO AVE 1,102,Model A,459000,75.16666667,2,1985
ANG MO KIO,4 ROOM,512,ANG MO KIO AVE 8,93,New Generation,485000,62.5,9,1986
ANG MO KIO,4 ROOM,427,ANG MO KIO AVE 3,92,New Generation,490000,60.66666667,8,1985
ANG MO KIO,4 ROOM,351,ANG MO KIO ST 32,95,Model A,530000,83.58333333,12,1984
ANG MO KIO,4 ROOM,596A,ANG MO KIO ST 52,91,Model A,580000,84.83333333,7,1985
ANG MO KIO,4 ROOM,596D,ANG MO KIO ST 52,91,Model A,632000,84.91666667,18,1984
ANG MO KIO,4 ROOM,596D,ANG MO KIO ST 52,90,Model A,658000,84.91666667,25,1998
ANG MO KIO,5 ROOM,459,ANG MO KIO AVE 10,120,Improved,620000,61.91666667,27,1985
ANG MO KIO,5 ROOM,729,ANG MO KIO AVE 6,119,Improved,672000,62.33333333,13,1987
ANG MO KIO,5 ROOM,317,ANG MO KIO ST 31,138,Model A,788888,76.83333333,20,1984
BEDOK,2 ROOM,541,BEDOK NTH ST 3,45,Improved,245000,67.58333333,9,1984
BEDOK,2 ROOM,534,BEDOK NTH ST 3,45,Improved,246000,68,1,1984
BEDOK,3 ROOM,617,BEDOK RESERVOIR RD,60,Improved,260000,68,3,1985
BEDOK,3 ROOM,105,BEDOK NTH AVE 4,67,New Generation,265000,59.5,2,1984
BEDOK,3 ROOM,501,BEDOK NTH ST 3,59,Improved,270000,60.16666667,14,1985
BEDOK,3 ROOM,18,BEDOK STH RD,65,Improved,275000,57.91666667,5,1987
BEDOK,3 ROOM,57,NEW UPP CHANGI RD,60,Improved,285000,67.66666667,7,1998
BEDOK,3 ROOM,540,BEDOK NTH ST 3,68,New Generation,285000,62.33333333,6,1985
BEDOK,3 ROOM,20,CHAI CHEE RD,65,Improved,285000,54.41666667,3,1985
BEDOK,3 ROOM,102,BEDOK RESERVOIR RD,67,New Generation,288000,67.16666667,2,1998
BEDOK,3 ROOM,529,BEDOK NTH ST 3,68,New Generation,290000,61.5,5,2004
BEDOK,3 ROOM,134,BEDOK NTH ST 2,67,New Generation,295000,60.33333333,6,1989
BEDOK,3 ROOM,501,BEDOK NTH ST 3,70,Improved,295000,60.16666667,8,1989
BEDOK,3 ROOM,713,BEDOK RESERVOIR RD,68,New Generation,300000,63.41666667,7,1985
BEDOK,3 ROOM,41,CHAI CHEE ST,67,New Generation,301000,67.33333333,5,1985
BEDOK,3 ROOM,713,BEDOK RESERVOIR RD,68,New Generation,302000,63.41666667,8,2004
